Designator,Mid X,Mid Y,Rotation,Layer
DS1,186.17,-106.375,0.0,top
J1,193.35,-113.8,270.0,top
K00,68.75,-70.0,0.0,top
K01,87.8,-70.0,0.0,top
K02,106.85,-58.0,0.0,top
K03,125.9,-53.0,0.0,top
K04,144.95,-58.0,0.0,top
K05,164.0,-60.0,0.0,top
K10,68.75,-89.05,0.0,top
K11,87.8,-89.05,0.0,top
K12,106.85,-77.05,0.0,top
K13,125.9,-72.05,0.0,top
K14,144.95,-77.05,0.0,top
K15,164.0,-79.05,0.0,top
K20,68.75,-108.1,0.0,top
K21,87.8,-108.1,0.0,top
K22,106.85,-96.1,0.0,top
K23,125.9,-91.1,0.0,top
K24,144.95,-96.1,0.0,top
K25,164.0,-98.1,0.0,top
K30,121.939331,-119.192751,5.0,top
K31,141.92,-118.25,0.0,top
K32,162.502823,-120.132133,350.0,top
K33,182.854044,-126.646901,335.0,top
U1,187.085,-76.5025,0.0,top
